PROVINSI ;Y_IDI ;X1_IPM ;X2_IDG ;X3_LPE 
ACEH ;67.78;69.45;65.57;-0.72
SUMATERA UTARA ;69.01;69.51;67.81;5.1
SUMATERA BARAT ;67.46;69.98;62.42;5.41
RIAU ;65.83;70.84;74.59;0.22
JAMBI ;70.68;68.89;62.43;4.21
SUMATERA SELATAN ;79.81;67.46;70.36;4.5
BENGKULU ;73.6;68.59;68.86;5.14
LAMPUNG ;65.95;66.95;62.01;5.13
KEP. BANGKA BELITUNG ;72.31;69.05;56.29;4.08
KEP. RIAU ;70.26;73.75;62.15;6.02
DKI JAKARTA ;85.32;78.99;71.41;5.88
JAWA BARAT ;73.04;69.5;69.02;5.03
JAWA TENGAH ;69.75;69.49;74.8;5.44
DI YOGYAKARTA ;83.19;77.59;68.75;4.94
JAWA TIMUR ;76.9;68.95;68.41;5.44
BANTEN ;68.46;70.27;67.94;5.37
BALI ;79.83;73.27;62.99;6.04
NUSA TENGGARA BARAT ;65.08;65.19;58.69;21.24
NUSA TENGGARA TIMUR ;78.47;62.67;64.75;5.02
KALIMANTAN BARAT ;76.4;65.59;64.44;4.81
KALIMANTAN TENGAH ;73.46;68.53;77.87;7.01
KALIMANTAN SELATAN ;74.76;68.38;70.05;3.84
KALIMANTAN TIMUR ;81.24;74.17;55.96;-1.28
KALIMANTAN UTARA ;80.16;68.76;67.31;3.13
SULAWESI UTARA ;79.4;70.39;79.82;6.12
SULAWESI TENGAH ;76.67;66.76;65.57;15.56
SULAWESI SELATAN ;67.9;69.15;67.98;7.15
SULAWESI TENGGARA ;69.44;68.75;72.14;6.88
GORONTALO ;76.77;65.86;69.26;6.23
SULAWESI BARAT ;68.25;62.96;69.4;7.37
MALUKU ;65.9;67.05;77.15;5.44
MALUKU UTARA ;61.52;65.91;65.74;6.1
PAPUA BARAT ;59.97;61.73;48.19;4.1
PAPUA ;57.55;57.25;63.69;7.97
